973.83,894.87,544.49,967.25
967.25,983.7,860.32,973.83
960.67,975.47,544.49,959.02
965.6,954.09,544.49,967.25
975.47,955.73,965.6,970.54
982.05,926.12,965.6,983.7
957.38,931.06,1597.3,960.67
967.25,955.73,1597.3,975.47
990.28,950.8,1176.2,982.05
1001.8,973.83,1597.3,993.57
1000.1,922.83,1176.2,1001.8
954.09,885,1176.2,955.73
888.29,837.29,1176.2,896.51
919.54,922.83,1386.7,919.54
901.45,909.67,1176.2,899.8
921.19,926.12,1597.3,926.12
929.41,891.58,755.05,939.28
901.45,848.81,965.6,899.8
888.29,865.26,965.6,889.93
868.55,819.2,965.6,866.9
873.48,820.85,1176.2,876.77
878.42,865.26,1386.7,883.35
888.29,845.52,755.05,893.22
880.06,880.06,1176.2,885
873.48,838.94,965.6,880.06
875.13,842.23,965.6,880.06
883.35,838.94,965.6,886.64
850.45,807.69,965.6,857.03
853.74,837.29,965.6,863.61
840.58,815.91,965.6,855.39
845.52,837.29,1176.2,852.1
852.1,797.82,544.49,868.55
838.94,791.24,755.05,843.87
863.61,840.58,544.49,868.55
863.61,812.62,965.6,857.03
885,894.87,1176.2,886.64
820.85,781.37,544.49,829.07
814.27,815.91,965.6,819.2
840.58,832.36,333.93,848.81
814.27,771.5,755.05,825.78
842.23,817.56,755.05,847.16
830.72,804.4,755.05,843.87
850.45,814.27,1386.7,857.03
873.48,852.1,1386.7,871.84
865.26,822.49,755.05,878.42
843.87,809.33,755.05,858.68
786.3,756.69,544.49,791.24
845.52,792.88,965.6,853.74
825.78,829.07,965.6,834.01
857.03,822.49,755.05,852.1
870.19,847.16,755.05,881.71
783.01,753.4,755.05,794.53
843.87,825.78,965.6,847.16
820.85,786.3,544.49,827.43
853.74,825.78,755.05,847.16
845.52,825.78,755.05,843.87
830.72,773.14,544.49,830.72
834.01,779.72,544.49,843.87
888.29,858.68,544.49,893.22
855.39,832.36,123.37,850.45
806.04,773.14,755.05,814.27
857.03,858.68,755.05,860.32
822.49,753.4,544.49,820.85
863.61,832.36,1176.2,863.61
847.16,825.78,755.05,857.03
802.75,786.3,965.6,817.56
815.91,786.3,755.05,827.43
855.39,819.2,1176.2,866.9
860.32,824.14,544.49,868.55
850.45,817.56,544.49,868.55
838.94,794.53,544.49,858.68
825.78,797.82,544.49,853.74
814.27,801.11,1176.2,830.72
855.39,834.01,1176.2,870.19
843.87,796.17,755.05,857.03
822.49,802.75,1176.2,827.43
863.61,804.4,755.05,865.26
847.16,845.52,1386.7,853.74
834.01,830.72,755.05,835.65
878.42,860.32,755.05,891.58
832.36,801.11,755.05,853.74
812.62,771.5,965.6,819.2
825.78,829.07,755.05,834.01
842.23,832.36,1176.2,845.52
838.94,820.85,669.51,842.23
875.13,829.07,458.95,881.71
857.03,796.17,669.51,835.65
858.68,824.14,37.835,832.36
868.55,850.45,248.39,853.74
866.9,812.62,248.39,865.26
843.87,824.14,669.51,848.81
848.81,801.11,248.39,857.03
820.85,773.14,248.39,830.72
863.61,850.45,248.39,881.71
843.87,804.4,248.39,858.68
845.52,848.81,880.06,860.32
845.52,843.87,669.51,858.68
840.58,804.4,669.51,853.74
868.55,834.01,669.51,886.64
853.74,822.49,880.06,870.19
860.32,815.91,669.51,870.19
857.03,827.43,564.23,873.48
810.98,810.98,458.95,832.36
838.94,804.4,458.95,852.1
835.65,824.14,985.34,855.39
815.91,748.47,774.79,822.49
847.16,812.62,458.95,852.1
861.97,881.71,774.79,878.42
858.68,840.58,774.79,868.55
861.97,878.42,1090.6,865.26
855.39,804.4,1090.6,852.1
842.23,789.59,564.23,852.1
840.58,815.91,669.51,853.74
802.75,807.69,774.79,815.91
806.04,848.81,985.34,835.65
806.04,832.36,774.79,829.07
830.72,814.27,669.51,858.68
865.26,842.23,669.51,885
848.81,845.52,669.51,861.97
858.68,848.81,669.51,873.48
852.1,835.65,669.51,865.26
801.11,771.5,248.39,822.49
819.2,794.53,880.06,827.43
815.91,789.59,880.06,829.07
842.23,855.39,669.51,865.26
889.93,888.29,1301.2,901.45
852.1,804.4,458.95,860.32
822.49,797.82,1090.6,832.36
829.07,755.05,669.51,837.29
822.49,807.69,669.51,829.07
807.69,815.91,880.06,824.14
850.45,797.82,458.95,860.32
863.61,806.04,669.51,873.48
871.84,850.45,669.51,889.93
878.42,881.71,669.51,889.93
812.62,819.2,669.51,830.72
835.65,810.98,669.51,848.81
840.58,781.37,669.51,855.39
812.62,768.21,669.51,835.65
837.29,840.58,880.06,855.39
858.68,815.91,458.95,871.84
871.84,865.26,880.06,888.29
857.03,880.06,458.95,853.74
865.26,838.94,880.06,870.19
829.07,817.56,880.06,825.78
827.43,764.92,669.51,838.94
873.48,858.68,1090.6,886.64
814.27,792.88,458.95,825.78
